time,pos,vel,error,output
0.0,0.004319999999999999,0.21599999999999997,24.0,18.0
0.02,0.0128399904,0.42599952,23.99568,17.931960000000004
0.04,0.025442517866688,0.6301263733344,23.9871600096,17.8625701512
0.06,0.04201263592207942,0.8285059027695707,23.974557482133314,17.791880199599685
0.08,0.062437856444676046,1.0212610261298312,23.95798736407792,17.71993875222752
0.1,0.08660810206668898,1.2085122811006463,23.937562143555326,17.646793299827593
0.12,0.11441565945116235,1.3903778692236684,23.913391897933312,17.572490239119787
0.14,0.14575513343312305,1.5669736990980345,23.88558434054884,17.497074894644523
0.16,0.18052340200916367,1.7384134288020305,23.854244866566876,17.420591540195726
0.18,0.2186195721601439,1.904808507549012,23.819476597990835,17.34308341985251
0.2,0.25994493649196826,2.0662682165912183,23.781380427839856,17.26459276861521
0.22,0.30440293067966573,2.2228997093848726,23.74005506350803,17.185160832653636
0.24,0.3518990917002604,2.3748080510297336,23.695597069320335,17.10482788917482
0.26,0.4023410168401806,2.52209625699601,23.64810090829974,17.023633265915855
0.28,0.45563832346320776,2.664865331151359,23.59765898315982,16.9416153602711
0.3,0.511702609525216,2.803214303100412,23.54436167653679,16.858811658057146
0.32,0.5704474148221982,2.937240264849114,23.488297390474784,16.775258751925982
0.34,0.6317881829583157,3.0670384068058785,23.429552585177802,16.690992359428623
0.36,0.695642224020944,3.192702053131411,23.368211817041683,16.60604734073947
0.38,0.7619286779499199,3.3143226964487957,23.304357775979057,16.5204577160449
0.4,0.8305684785884251,3.431990031925259,23.23807132205008,16.434256682602893
0.42,0.9014843184031616,3.5457919907368263,23.169431521411575,16.34747663148112
0.44,0.9746006138616988,3.655814772926861,23.098515681596837,16.260149163976557
0.46,1.0498434714550853,3.7621428796693244,23.0253993861383,16.172305107725677
0.48,1.1271406543540323,3.864859144947356,22.950156528544916,16.083974532507927
0.5,1.2064215496871848,3.964044766657622,22.872859345645967,15.99518676575024
0.52,1.2876171364301985,4.059779337150687,22.793578450312815,15.905970407737325
0.54,1.3706599538945476,4.152140873217456,22.7123828635698,15.816353346532136
0.56,1.4554840708051797,4.241205845531603,22.62934004610545,15.726362772613847
0.58,1.5420250549563335,4.327049207557684,22.54451592919482,15.636025193236641
0.6,1.630219943435023,4.409744423934485,22.457974945043667,15.545366446515455
0.62,1.7200072134018827,4.4893634983429775,22.369780056564977,15.454411715243392
0.64,1.8113267534192445,4.565977000868094,22.279992786598118,15.363185540445706
0.66,1.9041198353165119,4.639654094863362,22.188673246580755,15.271711834675127
0.68,1.9983290865830576,4.710462563327285,22.09588016468349,15.180013895053623
0.7,2.0938984632790616,4.778468834800204,22.00167091341694,15.088114416064482
0.72,2.190773223454866,4.843738008790208,21.90610153672094,14.996035502100678
0.74,2.288899901069596,4.906333880736504,21.809226776545135,14.903798679771782
0.76,2.388226280399967,4.966318966518551,21.711100098930405,14.811424909976864
0.78,2.488701370930348,5.023754526519039,21.611773719600034,14.718934599744458
0.8,2.5902753827153226,5.078700589248741,21.511298629069653,14.626347613846526
0.82,2.6928997022061436,5.131215974541037,21.409724617284677,14.533683286188868
0.84,2.7965268685326206,5.181358316323849,21.307100297793856,14.440960430983065
0.86,2.901110550232151,5.229184084976517,21.20347313146738,14.348197353703402
0.88,3.0066055224177326,5.274748609279076,21.09888944976785,14.255411861832929
0.9,3.112967644376957,5.318106097961214,20.993394477582267,14.16262127540297
0.92,3.2201538375941188,5.3593096608580915,20.88703235562304,14.069842437328896
0.94,3.32812206418772,5.398411329680061,20.77984616240588,13.97709172354701
0.96,3.436831305755784,5.435462078403202,20.67187793581228,13.884385052955178
0.98,3.5462415426215332,5.470511843287472,20.563168694244215,13.791737897162196
1.0,3.6563137334721163,5.503609542529144,20.453758457378466,13.699165290047617
1.02,3.7670097953831982,5.534803095554091,20.343686266527882,13.606681837137153
1.04,3.8782925842223652,5.564139441958349,20.2329902046168,13.514301724796379
1.06,3.990125875424411,5.591664560102298,20.121707415777635,13.422038729245742
1.08,4.1024743451317045,5.617423485364655,20.00987412457559,13.329906225400997
1.1,4.215303551692952,5.641460328062405,19.897525654868296,13.237917195541835
1.12,4.328579917513805,5.663818291042646,19.78469644830705,13.146084237811571
1.14,4.44227071125285,5.684539686952244,19.671420082486193,13.054419574551815
1.16,4.556344030356672,5.703665955191087,19.55772928874715,12.962935060474724
1.18,4.670768783927764,5.721237678554603,19.443655969643327,12.87164219067514
1.2,4.785514675919187,5.737294599571147,19.329231216072237,12.780552108487834
1.22,4.900552188649981,5.75187563653971,19.214485324080812,12.689675613189223
1.24,5.0158525666354485,5.765018899273364,19.099447811350018,12.599023167550605
1.26,5.131387800726523,5.7767617045537,18.98414743336455,12.508604905241416
1.28,5.247130612552552,5.78714059130148,18.86861219927348,12.418430638089012
1.3,5.363054439261924,5.796191335468586,18.752869387447447,12.328509863195116
1.32,5.479133418555049,5.803948964656295,18.636945560738077,12.23885176991301
1.34,5.595342374004345,5.810447772464785,18.52086658144495,12.149465246686788
1.36,5.71165680065592,5.815721332578718,18.404657625995654,12.060358887757314
1.38,5.828052850907793,5.819802512593642,18.28834319934408,11.971540999734454
1.4,5.94450732065955,5.822723487587888,18.171947149092208,11.883019608041078
1.42,6.060997635728441,5.824515753444526,18.05549267934045,11.794802463228962
1.44,6.177501838526999,5.8252101399279015,17.93900236427156,11.706897047170308
1.46,6.293998574997382,5.824836823519148,17.822498161473,11.619310579126362
1.48,6.410467081797683,5.823425340015044,17.70600142500262,11.532050021696245
1.5,6.526887173735572,5.82100459689445,17.589532918202316,11.445122086647201
